Date,Product,Category,Revenue,Profit,Quantity,Region
2024-01-18,机械键盘,电子产品,886.56,183.03,3,华东
2024-01-19,机械键盘,电子产品,6234.99,1309.12,17,东北
2024-01-19,瑜伽垫,运动,2955.52,263.89,12,东北
2024-01-19,钢笔套装,文具,394.62,130.39,3,华东
2024-01-20,瑜伽垫,运动,2946.39,772.46,16,华东
2024-01-20,跳绳,运动,210.59,47.87,6,西南
2024-01-21,运动水壶,运动,526.49,55.02,6,西南
2024-01-21,瑜伽垫,运动,645.2,167.15,3,华东
2024-01-21,笔记本电脑,电子产品,8248.19,2629.67,2,华东
2024-01-21,显示器,电子产品,26169.0,4795.85,15,西南
2024-01-22,办公椅,家具,12269.34,2628.26,10,东北
2024-01-22,耳机,电子产品,856.13,163.31,3,华南
2024-01-22,订书机,文具,470.09,129.43,12,东北
2024-01-22,耳机,电子产品,3201.43,955.21,12,华北
2024-01-23,站立式办公桌,家具,43231.76,6914.1,15,华东
2024-01-24,办公椅,家具,2426.25,487.09,2,华南
2024-01-24,打印纸,文具,1511.81,114.58,19,华南
2024-01-24,钢笔套装,文具,1166.4,208.5,8,华东
2024-01-25,瑜伽垫,运动,794.24,260.21,4,华东
2024-01-26,打印纸,文具,1569.76,222.22,18,华北
2024-01-27,钢笔套装,文具,2915.22,628.01,18,华东
2024-01-27,运动水壶,运动,998.35,232.81,11,华北
2024-01-27,显示器,电子产品,16801.26,2210.77,9,东北
2024-01-27,机械键盘,电子产品,5025.45,1268.91,14,东北
2024-01-28,打印纸,文具,303.88,45.68,4,华北
2024-01-28,站立式办公桌,家具,45839.65,7667.93,17,华南
2024-01-29,办公椅,家具,22073.78,3917.42,17,华北
2024-01-29,文件柜,家具,3728.13,468.6,5,东北
2024-01-30,办公椅,家具,13658.59,2389.23,10,华北
2024-01-30,显示器,电子产品,32858.99,3197.39,19,华北
2024-01-30,白板,文具,1233.71,282.43,3,华东
2024-01-30,白板,文具,5532.63,675.86,14,西南
2024-01-31,钢笔套装,文具,3422.84,771.95,20,西南
2024-01-31,机械键盘,电子产品,3292.66,518.56,10,东北
2024-01-31,跳绳,运动,118.67,35.24,3,西南
2024-02-01,瑜伽垫,运动,4030.77,857.2,18,东北
2024-02-01,订书机,文具,252.62,25.48,5,东北
2024-02-01,文件柜,家具,2246.44,489.55,4,华南
2024-02-01,白板,文具,7441.95,1418.98,19,华东
2024-02-02,订书机,文具,642.38,176.66,15,华北
2024-02-02,站立式办公桌,家具,33674.54,7599.34,13,东北
2024-02-02,站立式办公桌,家具,38412.92,5352.94,14,华南
2024-02-02,无线鼠标,电子产品,2054.06,447.22,16,东北
2024-02-04,订书机,文具,206.59,39.96,5,华北
2024-02-04,跳绳,运动,78.0,19.61,2,华南
2024-02-05,钢笔套装,文具,468.22,69.65,3,华东
2024-02-05,瑜伽垫,运动,3710.81,438.25,18,华东
2024-02-05,白板,文具,4132.12,905.09,11,华北
2024-02-06,打印纸,文具,620.46,46.81,8,华南
2024-02-06,订书机,文具,89.69,10.39,2,华东
2024-02-06,白板,文具,3280.47,349.05,8,华南
2024-02-07,跳绳,运动,94.75,31.59,3,华南
2024-02-07,白板,文具,2785.88,410.82,7,东北
2024-02-07,机械键盘,电子产品,4478.87,505.19,11,华北
2024-02-08,机械键盘,电子产品,2405.9,429.33,8,西南
2024-02-09,跳绳,运动,672.95,107.63,19,华北
2024-02-09,耳机,电子产品,1192.82,232.86,4,东北
2024-02-10,站立式办公桌,家具,23468.03,3534.76,10,华南
2024-02-11,机械键盘,电子产品,1747.86,255.79,5,华东
2024-02-11,打印纸,文具,1474.11,189.97,18,华东
2024-02-11,站立式办公桌,家具,48814.28,9485.98,19,东北
2024-02-12,订书机,文具,595.33,89.43,14,华北
2024-02-13,订书机,文具,845.36,183.05,18,华东
2024-02-13,运动水壶,运动,1603.12,336.51,20,华南
2024-02-13,显示器,电子产品,8384.38,1110.35,4,东北
2024-02-13,订书机,文具,741.32,138.02,16,华北
2024-02-16,站立式办公桌,家具,10279.97,1059.77,4,华北
2024-02-16,文件柜,家具,8298.1,601.85,12,西南
2024-02-16,笔记本电脑,电子产品,37731.91,10795.37,10,西南
2024-02-16,瑜伽垫,运动,556.37,138.86,3,华北
2024-02-16,打印纸,文具,592.76,93.17,7,东北
2024-02-17,白板,文具,2724.04,747.81,7,华北
2024-02-17,显示器,电子产品,13723.96,2790.64,8,东北
2024-02-17,站立式办公桌,家具,30911.24,3453.4,13,西南
2024-02-17,跳绳,运动,245.37,38.65,8,华东
2024-02-17,瑜伽垫,运动,1657.12,316.85,8,华南
2024-02-18,跳绳,运动,625.56,114.27,17,华北
2024-02-19,办公椅,家具,14497.24,1374.18,12,东北
2024-02-20,站立式办公桌,家具,21827.17,2428.95,8,华北
2024-02-21,白板,文具,5546.17,635.73,15,华北
2024-02-22,机械键盘,电子产品,3139.57,969.17,9,华东
2024-02-22,订书机,文具,390.59,123.96,10,东北
2024-02-22,瑜伽垫,运动,186.01,53.21,1,东北
2024-02-23,钢笔套装,文具,2700.91,255.87,17,华东
2024-02-24,显示器,电子产品,22792.56,2141.32,13,东北
2024-02-24,跳绳,运动,385.4,53.37,11,华南
2024-02-25,办公椅,家具,22186.61,2221.11,18,华南
2024-02-25,钢笔套装,文具,2481.79,656.87,19,华东
2024-02-26,耳机,电子产品,5096.46,1043.63,19,西南
2024-02-27,无线鼠标,电子产品,570.88,128.07,5,东北
2024-02-28,订书机,文具,157.48,31.3,3,西南
2024-02-28,运动水壶,运动,762.57,236.87,9,东北
2024-02-28,站立式办公桌,家具,2855.13,331.51,1,华南
2024-02-28,笔记本电脑,电子产品,26806.68,4746.4,6,西南
2024-02-28,白板,文具,2614.84,561.07,8,华东
2024-02-29,打印纸,文具,584.71,105.95,7,东北
2024-02-29,跳绳,运动,145.01,37.38,4,东北
2024-03-01,机械键盘,电子产品,1225.86,221.8,4,西南
2024-03-02,运动水壶,运动,2017.89,326.51,19,华北
2024-03-02,显示器,电子产品,11636.97,2380.91,8,华北
2024-03-02,订书机,文具,839.69,103.4,18,华东
2024-03-02,订书机,文具,273.91,67.25,7,华南
2024-03-03,文件柜,家具,3518.26,622.03,5,西南
2024-03-04,耳机,电子产品,910.61,144.76,3,华东
2024-03-04,文件柜,家具,6675.8,984.93,10,西南
2024-03-05,运动水壶,运动,1739.37,373.51,19,华东
2024-03-05,打印纸,文具,837.25,103.77,10,东北
2024-03-06,跳绳,运动,625.96,158.2,18,东北
2024-03-06,订书机,文具,322.31,74.3,8,华北
2024-03-06,显示器,电子产品,25701.63,3443.73,14,西南
2024-03-08,无线鼠标,电子产品,734.44,201.69,6,西南
2024-03-08,跳绳,运动,353.03,76.26,10,西南
2024-03-08,无线鼠标,电子产品,1196.07,209.24,10,华南
2024-03-08,订书机,文具,905.18,251.88,19,东北
2024-03-09,跳绳,运动,322.05,101.47,9,华南
2024-03-10,运动水壶,运动,1391.18,223.07,14,华南
2024-03-11,白板,文具,5029.81,771.58,12,西南
2024-03-11,笔记本电脑,电子产品,44005.66,8064.53,10,西南
2024-03-11,白板,文具,6574.02,1350.6,16,华北
2024-03-11,运动水壶,运动,987.57,126.09,9,华南
2024-03-12,订书机,文具,934.91,230.66,18,西南
2024-03-12,办公椅,家具,23555.31,3844.22,20,华南
2024-03-12,笔记本电脑,电子产品,8027.04,1895.65,2,华南
2024-03-12,显示器,电子产品,33473.29,6980.38,18,东北
2024-03-12,显示器,电子产品,31305.8,5513.78,16,华北
2024-03-13,订书机,文具,50.65,5.85,1,华北
2024-03-14,瑜伽垫,运动,4398.51,851.87,20,西南
2024-03-14,站立式办公桌,家具,11944.63,2226.38,5,华北
2024-03-14,运动水壶,运动,1111.7,283.54,13,华北
2024-03-16,运动水壶,运动,1932.46,377.92,20,华北
2024-03-17,耳机,电子产品,3818.71,951.96,13,华东
2024-03-17,显示器,电子产品,11309.52,3268.08,7,东北
2024-03-18,站立式办公桌,家具,18079.04,3500.16,7,西南
2024-03-18,机械键盘,电子产品,5642.4,1875.38,19,华南
2024-03-19,显示器,电子产品,20244.88,4223.26,11,华东
2024-03-19,办公椅,家具,7859.09,1318.35,6,东北
2024-03-19,打印纸,文具,1444.57,84.63,16,华北
2024-03-20,打印纸,文具,1418.43,169.97,16,华东
2024-03-20,耳机,电子产品,3103.25,789.68,10,东北
2024-03-21,运动水壶,运动,1915.63,527.86,20,华北
2024-03-22,文件柜,家具,9956.46,2179.79,17,西南
2024-03-22,订书机,文具,726.98,150.85,16,西南
2024-03-22,运动水壶,运动,354.85,100.46,4,西南
2024-03-23,订书机,文具,653.72,147.32,15,东北
2024-03-23,办公椅,家具,10741.89,1010.75,8,华南
2024-03-24,文件柜,家具,7200.65,1019.26,13,华南
2024-03-24,运动水壶,运动,572.6,96.54,6,西南
2024-03-24,耳机,电子产品,1034.98,250.83,4,东北
2024-03-24,站立式办公桌,家具,50219.06,7647.2,20,华南
2024-03-25,办公椅,家具,19495.7,2497.5,17,西南
2024-03-26,钢笔套装,文具,2520.35,505.36,20,华北
2024-03-27,机械键盘,电子产品,3345.03,1018.87,9,华南
2024-03-27,订书机,文具,509.53,101.32,12,华东
2024-03-28,运动水壶,运动,1741.85,456.57,20,西南
2024-03-29,钢笔套装,文具,758.59,160.07,5,华北
2024-03-29,白板,文具,1139.09,259.92,3,华东
2024-03-30,无线鼠标,电子产品,2782.36,423.32,20,西南
2024-03-31,跳绳,运动,77.6,18.28,2,西南
2024-03-31,运动水壶,运动,1517.5,434.09,16,西南
2024-04-01,无线鼠标,电子产品,552.65,118.92,4,东北
2024-04-01,白板,文具,1744.64,202.68,4,华南
2024-04-01,白板,文具,5533.0,626.29,13,东北
2024-04-02,瑜伽垫,运动,3903.51,1105.62,20,华东
2024-04-02,显示器,电子产品,20282.73,2741.56,11,西南
2024-04-02,耳机,电子产品,2826.91,516.79,10,华南
2024-04-02,钢笔套装,文具,2298.18,306.06,14,西南
2024-04-03,运动水壶,运动,490.26,112.66,5,西南
2024-04-03,文件柜,家具,5086.58,714.18,7,华南
2024-04-03,笔记本电脑,电子产品,40059.52,8067.7,9,西南
2024-04-04,跳绳,运动,759.87,196.2,18,华北
2024-04-05,笔记本电脑,电子产品,49819.15,3584.77,11,华南
2024-04-07,无线鼠标,电子产品,484.78,84.9,4,西南
2024-04-07,耳机,电子产品,1726.5,502.73,7,华北
2024-04-08,显示器,电子产品,27320.06,3274.73,16,华南
2024-04-08,显示器,电子产品,7847.73,1892.61,5,华东
2024-04-09,办公椅,家具,24265.41,5315.23,19,西南
2024-04-11,无线鼠标,电子产品,2075.16,545.1,19,华东
2024-04-12,瑜伽垫,运动,3151.5,944.79,15,华南
2024-04-12,运动水壶,运动,1771.49,616.11,20,华东
2024-04-12,无线鼠标,电子产品,654.98,137.99,5,华北
2024-04-13,钢笔套装,文具,2872.14,388.81,18,华东
2024-04-14,办公椅,家具,13040.35,2476.89,11,西南
2024-04-14,办公椅,家具,27322.25,4676.69,20,华东
2024-04-15,瑜伽垫,运动,2915.62,581.62,14,西南
2024-04-16,白板,文具,4879.14,742.97,11,西南
2024-04-16,打印纸,文具,556.53,47.29,7,华南
2024-04-17,订书机,文具,426.81,63.24,11,华东
2024-04-18,跳绳,运动,619.84,161.45,18,华东
2024-04-19,钢笔套装,文具,1612.58,120.16,10,西南
2024-04-19,显示器,电子产品,34694.27,6949.86,18,华南
2024-04-21,白板,文具,5602.99,777.63,15,华南
2024-04-21,文件柜,家具,8501.58,2289.66,15,华东
2024-04-21,文件柜,家具,5358.76,738.16,9,华南
2024-04-22,文件柜,家具,10219.73,1579.5,19,华南
2024-04-22,文件柜,家具,4826.41,748.77,8,华南
2024-04-22,站立式办公桌,家具,44979.3,6157.29,20,华北
2024-04-23,钢笔套装,文具,336.57,46.94,2,东北
2024-04-23,站立式办公桌,家具,24446.87,3667.82,10,华南
2024-04-23,办公椅,家具,7405.82,1320.4,6,华北
2024-04-24,笔记本电脑,电子产品,49482.17,5741.92,11,华北
2024-04-25,运动水壶,运动,1324.74,337.25,14,东北
2024-04-25,运动水壶,运动,724.82,152.91,7,华东
2024-04-25,运动水壶,运动,2112.24,454.2,17,西南
2024-04-26,订书机,文具,86.59,15.02,2,东北
2024-04-26,办公椅,家具,23191.58,3296.17,18,西南
2024-04-26,办公椅,家具,6818.21,914.57,6,华南
2024-04-27,钢笔套装,文具,1255.38,261.71,8,华北
2024-04-27,显示器,电子产品,30198.88,788.43,19,西南
2024-04-29,瑜伽垫,运动,2671.38,521.53,14,华北
2024-04-29,瑜伽垫,运动,865.8,126.75,4,西南
2024-04-30,站立式办公桌,家具,6774.77,1182.82,3,华南
2024-05-01,耳机,电子产品,1687.87,200.71,5,东北
2024-05-03,订书机,文具,569.21,135.05,14,西南
2024-05-03,显示器,电子产品,5646.18,1484.55,3,华北
2024-05-03,订书机,文具,180.68,33.15,4,东北
2024-05-03,钢笔套装,文具,2704.86,333.16,14,华东
2024-05-03,订书机,文具,248.61,33.58,5,华南
2024-05-04,机械键盘,电子产品,394.72,57.58,1,华北
2024-05-04,耳机,电子产品,2202.7,422.68,7,华南
2024-05-04,笔记本电脑,电子产品,68059.25,4816.21,17,华东
2024-05-05,白板,文具,4899.47,958.81,14,东北
2024-05-05,显示器,电子产品,9582.92,2185.36,5,华北
2024-05-05,办公椅,家具,11464.18,2513.84,10,华东
2024-05-06,文件柜,家具,6690.99,1740.48,12,华东
2024-05-06,订书机,文具,145.72,14.97,3,华北
2024-05-06,机械键盘,电子产品,1162.99,271.74,4,华北
2024-05-07,瑜伽垫,运动,1221.59,425.28,6,华南
2024-05-07,显示器,电子产品,11613.1,1897.1,7,东北
2024-05-08,笔记本电脑,电子产品,71710.86,7305.82,16,华南
2024-05-08,笔记本电脑,电子产品,13634.1,2941.0,3,华东
2024-05-08,显示器,电子产品,31435.89,7628.65,18,华南
2024-05-09,笔记本电脑,电子产品,34897.84,5535.31,7,华南
2024-05-10,笔记本电脑,电子产品,61408.82,7007.45,14,华北
2024-05-11,跳绳,运动,629.78,48.38,16,华南
2024-05-12,运动水壶,运动,697.82,260.43,8,华南
2024-05-12,办公椅,家具,13025.61,2747.88,9,东北
2024-05-13,办公椅,家具,20126.6,3414.98,17,西南
2024-05-13,站立式办公桌,家具,18773.19,2909.63,8,西南
2024-05-14,订书机,文具,814.03,143.53,19,西南
2024-05-14,运动水壶,运动,917.64,175.64,9,西南
2024-05-15,机械键盘,电子产品,3844.35,458.26,12,华北
2024-05-15,运动水壶,运动,179.66,41.33,2,西南
2024-05-15,白板,文具,7339.54,911.18,20,西南
2024-05-15,站立式办公桌,家具,13282.08,1485.71,5,华南
2024-05-16,运动水壶,运动,1054.1,200.27,11,华北
2024-05-16,瑜伽垫,运动,934.94,213.47,5,华北
2024-05-16,办公椅,家具,11534.19,2102.25,10,东北
2024-05-17,无线鼠标,电子产品,783.14,207.11,7,东北
2024-05-17,站立式办公桌,家具,52827.55,3774.17,20,东北
2024-05-17,机械键盘,电子产品,4683.57,539.65,13,华东
2024-05-17,文件柜,家具,3256.76,390.8,5,华北
2024-05-18,笔记本电脑,电子产品,13462.85,3676.02,3,华南
2024-05-18,耳机,电子产品,1999.0,525.56,9,华东
2024-05-19,文件柜,家具,10556.97,736.33,17,华东
2024-05-19,无线鼠标,电子产品,1533.93,158.12,12,西南
2024-05-19,办公椅,家具,14023.84,2614.71,11,东北
2024-05-19,白板,文具,6676.56,785.95,18,西南
2024-05-20,钢笔套装,文具,3189.97,601.61,19,东北
2024-05-20,笔记本电脑,电子产品,8501.72,1025.02,2,东北
2024-05-20,耳机,电子产品,997.66,217.22,4,东北
2024-05-21,运动水壶,运动,1332.45,420.82,14,华南
2024-05-21,显示器,电子产品,6807.66,1343.69,4,西南
2024-05-21,瑜伽垫,运动,1001.84,276.07,5,华东
2024-05-21,显示器,电子产品,6967.67,1109.7,4,华北
2024-05-22,文件柜,家具,7962.91,494.52,12,华东
2024-05-22,文件柜,家具,5318.28,1113.71,8,华北
2024-05-22,跳绳,运动,444.46,166.0,15,华东
2024-05-23,瑜伽垫,运动,3438.96,1524.87,20,东北
2024-05-24,无线鼠标,电子产品,757.2,201.46,7,华南
2024-05-25,白板,文具,7152.08,1505.86,20,华南
2024-05-25,文件柜,家具,10283.18,1493.93,16,西南
2024-05-25,耳机,电子产品,5674.46,947.96,20,华东
2024-05-26,笔记本电脑,电子产品,75867.49,13103.27,17,西南
2024-05-26,打印纸,文具,167.03,15.47,2,华北
2024-05-27,钢笔套装,文具,1733.43,341.33,10,华南
2024-05-27,订书机,文具,403.32,75.43,10,西南
2024-05-27,订书机,文具,291.83,76.77,7,西南
2024-05-28,站立式办公桌,家具,45057.04,5351.39,20,西南
2024-05-28,跳绳,运动,371.45,54.72,10,华东
2024-05-29,订书机,文具,269.21,40.42,5,西南
2024-05-29,白板,文具,3717.92,487.18,9,西南
2024-05-30,显示器,电子产品,3158.72,336.41,2,华东
2024-05-30,站立式办公桌,家具,15137.64,968.95,6,西南
2024-05-30,办公椅,家具,5060.93,711.05,4,华北
2024-06-01,瑜伽垫,运动,4115.17,319.83,19,东北
2024-06-01,运动水壶,运动,1176.83,278.1,13,西南
2024-06-02,瑜伽垫,运动,1018.1,152.74,5,西南
2024-06-02,机械键盘,电子产品,7159.44,1819.55,19,华东
2024-06-02,打印纸,文具,303.06,43.89,3,华北
2024-06-03,无线鼠标,电子产品,273.58,63.87,2,华东
2024-06-03,显示器,电子产品,22614.26,5852.76,13,西南
2024-06-03,文件柜,家具,662.14,77.34,1,华北
2024-06-05,瑜伽垫,运动,1407.95,359.86,8,华东
2024-06-07,文件柜,家具,10790.01,2026.18,15,华北
2024-06-07,站立式办公桌,家具,44422.1,8679.1,16,东北
2024-06-08,白板,文具,361.47,52.21,1,东北
2024-06-08,订书机,文具,546.08,48.78,11,东北
2024-06-09,瑜伽垫,运动,2330.85,690.81,11,华南
2024-06-09,打印纸,文具,745.18,84.7,9,华东
2024-06-09,笔记本电脑,电子产品,10042.74,1206.07,2,东北
2024-06-10,笔记本电脑,电子产品,29603.03,6387.54,7,东北
2024-06-10,显示器,电子产品,31769.28,6141.04,16,西南
2024-06-11,打印纸,文具,1254.76,100.26,16,东北
2024-06-11,订书机,文具,779.78,95.13,16,西南
2024-06-11,文件柜,家具,8651.22,1419.29,12,东北
2024-06-11,运动水壶,运动,1522.18,272.08,15,东北
2024-06-12,钢笔套装,文具,2865.66,246.06,20,华南
2024-06-14,无线鼠标,电子产品,1690.37,214.85,13,东北
2024-06-14,笔记本电脑,电子产品,29778.72,5480.54,6,华南
2024-06-14,瑜伽垫,运动,2350.02,854.71,11,华东
2024-06-14,文件柜,家具,656.31,129.06,1,华北
2024-06-14,瑜伽垫,运动,1713.86,265.04,8,华北
2024-06-16,打印纸,文具,915.59,14.54,10,华南
2024-06-16,显示器,电子产品,28863.39,3958.35,15,华南
2024-06-16,无线鼠标,电子产品,131.81,23.4,1,西南
2024-06-17,耳机,电子产品,988.3,201.87,3,华南
2024-06-17,站立式办公桌,家具,37392.66,6491.01,16,华南
2024-06-17,瑜伽垫,运动,3748.84,1406.73,18,西南
2024-06-17,无线鼠标,电子产品,2391.9,311.42,18,西南
2024-06-18,机械键盘,电子产品,5212.99,1203.25,15,华南
2024-06-18,站立式办公桌,家具,11402.52,1503.87,5,华北
2024-06-18,打印纸,文具,312.68,59.67,4,西南
2024-06-18,瑜伽垫,运动,883.0,169.4,4,西南
2024-06-19,无线鼠标,电子产品,2552.47,257.95,19,华东
2024-06-19,机械键盘,电子产品,742.95,97.04,2,华南
2024-06-19,办公椅,家具,4768.28,509.36,4,华东
2024-06-21,运动水壶,运动,1262.68,260.98,13,华南
2024-06-21,无线鼠标,电子产品,412.76,69.92,3,西南
2024-06-21,笔记本电脑,电子产品,83168.29,13244.19,16,华南
2024-06-21,打印纸,文具,1199.77,123.76,13,华东
2024-06-22,瑜伽垫,运动,2811.91,1157.8,15,西南
2024-06-22,笔记本电脑,电子产品,86014.97,26432.38,19,东北
2024-06-22,机械键盘,电子产品,5249.68,1252.99,16,西南
2024-06-22,运动水壶,运动,366.98,71.09,4,西南
2024-06-23,耳机,电子产品,1272.88,172.89,5,华东
2024-06-23,钢笔套装,文具,3677.66,551.2,20,东北
2024-06-23,机械键盘,电子产品,742.99,171.82,2,华南
2024-06-25,运动水壶,运动,585.17,111.8,5,华南
2024-06-25,订书机,文具,145.02,26.15,3,东北
2024-06-26,白板,文具,4408.61,1181.18,14,华南
2024-06-27,跳绳,运动,29.46,9.82,1,西南
2024-06-28,耳机,电子产品,3436.55,868.27,13,华东
2024-06-28,打印纸,文具,1262.8,216.81,17,西南
2024-06-28,显示器,电子产品,6183.62,1159.0,3,华北
2024-06-28,笔记本电脑,电子产品,25826.86,4354.79,6,华东
2024-06-29,笔记本电脑,电子产品,8458.77,1753.5,2,华南
2024-06-30,运动水壶,运动,1587.68,433.4,18,西南
2024-06-30,站立式办公桌,家具,29572.68,5715.19,14,西南
2024-06-30,白板,文具,1160.11,160.18,3,东北
2024-06-30,瑜伽垫,运动,2956.74,926.96,14,华北
2024-07-01,瑜伽垫,运动,393.09,126.51,2,华南
2024-07-02,钢笔套装,文具,1560.68,275.45,10,华南
2024-07-02,显示器,电子产品,14492.56,1624.02,8,华北
2024-07-02,办公椅,家具,17608.1,2988.06,14,华东
2024-07-03,白板,文具,7328.6,1264.82,19,华南
2024-07-03,无线鼠标,电子产品,1907.11,363.3,17,东北
2024-07-03,运动水壶,运动,792.19,136.25,9,华北
2024-07-04,无线鼠标,电子产品,1140.2,452.68,12,东北
2024-07-04,笔记本电脑,电子产品,48485.34,11640.07,12,华南
2024-07-04,钢笔套装,文具,2707.73,450.76,16,西南
2024-07-04,白板,文具,3818.57,607.31,10,华北
2024-07-04,跳绳,运动,325.43,72.14,10,华东
2024-07-05,办公椅,家具,11885.65,2167.41,10,西南
2024-07-05,站立式办公桌,家具,7169.97,1247.07,3,华南
2024-07-06,运动水壶,运动,460.99,137.43,5,华东
2024-07-07,跳绳,运动,624.39,146.64,17,华南
2024-07-08,办公椅,家具,7284.32,1482.68,7,华南
2024-07-08,打印纸,文具,1671.38,170.02,18,西南
2024-07-10,站立式办公桌,家具,42405.7,1603.35,18,西南
2024-07-10,运动水壶,运动,969.93,279.07,11,东北
2024-07-13,机械键盘,电子产品,2618.2,354.38,8,华北
2024-07-13,笔记本电脑,电子产品,54521.86,11124.63,13,华南
2024-07-13,文件柜,家具,665.92,84.79,1,华南
2024-07-13,钢笔套装,文具,1098.45,113.22,8,西南
2024-07-14,文件柜,家具,10151.31,1353.25,13,西南
2024-07-14,瑜伽垫,运动,2274.12,688.09,12,华北
2024-07-15,订书机,文具,226.71,31.87,5,华东
2024-07-16,打印纸,文具,428.04,42.84,5,西南
2024-07-16,白板,文具,5299.86,721.02,15,东北
2024-07-16,跳绳,运动,449.46,105.29,19,华东
2024-07-18,办公椅,家具,15071.66,2374.34,12,华北
2024-07-21,耳机,电子产品,298.98,51.22,1,华东
2024-07-22,瑜伽垫,运动,4206.21,776.1,18,西南
2024-07-22,瑜伽垫,运动,411.57,173.66,2,西南
2024-07-22,运动水壶,运动,1042.77,170.68,11,华北
2024-07-22,无线鼠标,电子产品,1407.39,213.65,12,西南
2024-07-23,订书机,文具,774.67,169.68,15,西南
2024-07-23,机械键盘,电子产品,4518.75,910.86,12,东北
2024-07-24,跳绳,运动,71.75,17.66,2,华东
2024-07-25,无线鼠标,电子产品,2077.19,358.75,19,华东
2024-07-25,办公椅,家具,2430.05,348.47,2,西南
2024-07-25,订书机,文具,405.83,91.09,10,东北
2024-07-25,订书机,文具,449.49,128.92,11,华北
2024-07-26,订书机,文具,414.08,65.42,8,华南
2024-07-27,文件柜,家具,10942.82,1742.55,16,华东
2024-07-27,耳机,电子产品,472.83,141.82,2,华南
2024-07-27,无线鼠标,电子产品,997.87,174.74,8,华北
2024-07-27,无线鼠标,电子产品,125.15,30.2,1,华北
2024-07-28,运动水壶,运动,1108.53,232.32,11,东北
2024-07-29,运动水壶,运动,1414.95,183.99,14,东北
2024-07-30,办公椅,家具,19188.34,4004.95,16,华北
2024-07-30,笔记本电脑,电子产品,23714.32,4261.22,7,东北
2024-07-31,文件柜,家具,11523.7,2492.75,19,华北
2024-07-31,订书机,文具,192.74,26.6,4,华南
2024-07-31,机械键盘,电子产品,2275.35,505.65,7,华东
2024-07-31,跳绳,运动,714.7,179.83,19,华东
2024-08-01,钢笔套装,文具,3384.5,656.03,20,东北
2024-08-02,打印纸,文具,1710.14,161.18,20,西南
2024-08-03,瑜伽垫,运动,2689.78,656.15,16,华北
2024-08-03,耳机,电子产品,848.2,138.26,3,西南
2024-08-04,无线鼠标,电子产品,1131.46,292.94,10,华东
2024-08-05,白板,文具,5432.05,602.91,13,华东
2024-08-05,显示器,电子产品,11390.87,1690.82,6,东北
2024-08-06,办公椅,家具,11483.0,2325.18,9,华南
2024-08-07,笔记本电脑,电子产品,101856.55,16948.48,20,华南
2024-08-08,运动水壶,运动,2190.01,157.46,19,东北
2024-08-08,钢笔套装,文具,957.55,243.33,6,东北
2024-08-08,机械键盘,电子产品,1741.34,420.86,5,西南
2024-08-08,文件柜,家具,5181.81,1224.99,8,西南
2024-08-09,订书机,文具,519.8,62.19,11,东北
2024-08-09,无线鼠标,电子产品,1429.28,355.86,12,华东
